feature,importance
over,0.22698443625080475
batsman_strike_rate,0.2002297201866104
dot_ball_percentage,0.19345636441951825
batsman_balls_faced,0.1659393017482949
balls_since_boundary,0.1143196191568097
powerplay,0.05736411231897445
recent_form,0.023909721684676914
under_pressure,0.010718147278261725
new_batsman,0.007078576956048849
